#Frequency (Hz),ky (g),Analytical Dispacement (m),DGR Displacement(m),DGR Error (%),Jibson Displacement (m),Jibson Error (%),Error Difference (%)
0.5,0.1,4.72871684,4.727077954,0.163888659,4.727097286,0.161955405,0.001933254
0.5,0.2,3.565793391,3.564571315,0.122207594,3.564569901,0.122348979,0.000141384
0.5,0.4,1.866609014,1.865951563,0.065745033,1.865966679,0.064233489,0.001511543
0.5,0.6,0.783610981,0.783333265,0.027771574,0.783340047,0.02709343,0.000678143
0.5,0.8,0.186660396,0.186594736,0.006566046,0.186593122,0.006727423,0.000161377
0.5,1,-4.92E-17,0,4.92E-15,0,4.92E-15,0
1,0.1,1.18217921,1.1817486,0.043061017,1.181770728,0.040848216,0.002212801
1,0.2,0.891448348,0.891139483,0.030886516,0.891138777,0.030957067,7.06E-05
1,0.4,0.466652253,0.466485469,0.016678399,0.466490031,0.016222193,0.000456206
1,0.6,0.195902745,0.195831245,0.007150004,0.195832263,0.007048258,0.000101747
1,0.8,0.046665099,0.046646011,0.001908773,0.046648092,0.001700728,0.000208045
1,1,-1.23E-17,0,1.23E-15,0,1.23E-15,0
2,0.1,0.295544803,0.295415218,0.012958434,0.295438727,0.010607512,0.002350922
2,0.2,0.222862087,0.222781087,0.008100013,0.222780737,0.008134971,3.50E-05
2,0.4,0.116663063,0.116610446,0.005261749,0.116621032,0.004203111,0.001058638
2,0.6,0.048975686,0.048956127,0.00195591,0.04895664,0.001904627,5.13E-05
2,0.8,0.011666275,0.011657352,0.000892286,0.011659936,0.000633846,0.000258439
2,1,-3.07E-18,0,3.07E-16,0,3.07E-16,0
3,0.1,0.131353246,0.131301047,0.005219878,0.131305214,0.004803124,0.000416754
3,0.2,0.099049816,0.099001611,0.00482052,0.099014038,0.003577813,0.001242707
3,0.4,0.05185025,0.051817263,0.003298702,0.051829856,0.002039427,0.001259274
3,0.6,0.021766972,0.021756188,0.001078403,0.021753383,0.001358882,0.000280479
3,0.8,0.005185011,0.005181516,0.000349492,0.005182219,0.000279221,7.03E-05
3,1,-1.56E-17,0,1.56E-15,0,1.56E-15,0
4,0.1,0.073886201,0.073832302,0.005389874,0.073854006,0.003219418,0.002170455
4,0.2,0.055715522,0.055691266,0.00242558,0.055691098,0.002442388,1.68E-05
4,0.4,0.029165766,0.029150064,0.001570229,0.029152374,0.001339212,0.000231018
4,0.6,0.012243922,0.012232871,0.001105077,0.0122388,0.000512134,0.000592943
4,0.8,0.002916569,0.002909444,0.000712472,0.002912288,0.000428105,0.000284368
4,1,-7.68E-19,0,7.68E-17,0,7.68E-17,0
5,0.1,0.047287168,0.047264629,0.002253954,0.04726906,0.001810832,0.000443123
5,0.2,0.035657934,0.035636748,0.002118639,0.035645426,0.001250782,0.000867857
5,0.4,0.01866609,0.018655221,0.001086873,0.018651364,0.001472573,0.000385701
5,0.6,0.00783611,0.007827894,0.000821598,0.007832673,0.000343678,0.00047792
5,0.8,0.001866604,0.00186282,0.000378372,0.001863465,0.000313945,6.44E-05
5,1,-4.16E-18,0,4.16E-16,0,4.16E-16,0
6,0.1,0.032838311,0.032811766,0.002654549,0.032826263,0.001204839,0.00144971
6,0.2,0.024762454,0.024747016,0.001543797,0.024750288,0.001216596,0.000327201
6,0.4,0.012962563,0.012939999,0.002256376,0.012954592,0.000797081,0.001459295
6,0.6,0.005441743,0.00543754,0.000420323,0.005436155,0.000558814,0.000138491
6,0.8,0.001296253,0.001292549,0.000370349,0.001294481,0.000177203,0.000193146
6,1,-3.90E-18,0,3.90E-16,0,3.90E-16,0
7,0.1,0.024126106,0.024111333,0.001477358,0.024115284,0.001082227,0.00039513
7,0.2,0.018192823,0.018175075,0.001774847,0.018184128,0.000869503,0.000905344
7,0.4,0.009523515,0.009514859,0.000865682,0.009517716,0.000579973,0.000285709
7,0.6,0.003998015,0.003989115,0.00089007,0.003995763,0.000225215,0.000664855
7,0.8,0.000952349,0.000950749,0.000160013,0.00094957,0.000277904,0.00011789
7,1,0,0,0,0,0,0
8,0.1,0.01847155,0.01843608,0.00354702,0.018456697,0.00148528,0.00206174
8,0.2,0.01392888,0.013918694,0.001018688,0.013918623,0.001025715,7.03E-06
8,0.4,0.007291441,0.007284471,0.000697056,0.007282654,0.000878775,0.000181719
8,0.6,0.00306098,0.003049608,0.001137229,0.003058232,0.000274831,0.000862398
8,0.8,0.000729142,0.000726497,0.000264499,0.000727986,0.000115608,0.000148892
8,1,-1.92E-19,0,1.92E-17,0,1.92E-17,0
9,0.1,0.014594805,0.014570289,0.002451622,0.014588159,0.000664572,0.001787049
9,0.2,0.011005535,0.010990729,0.001480631,0.011000222,0.000531313,0.000949318
9,0.4,0.005761139,0.005754294,0.000684517,0.005754526,0.000661334,2.32E-05
9,0.6,0.002418552,0.002413592,0.000495997,0.002416477,0.000207577,0.00028842
9,0.8,0.000576112,0.000573204,0.000290803,0.000575431,6.82E-05,0.000222621
9,1,-3.58E-19,0,3.58E-17,0,3.58E-17,0
10,0.1,0.011821792,0.011803335,0.001845681,0.01181802,0.000377241,0.001468439
10,0.2,0.008914483,0.008905036,0.000944794,0.008909377,0.000510641,0.000434152
10,0.4,0.004666523,0.004656607,0.000991517,0.00466302,0.000350298,0.000641219
10,0.6,0.001959027,0.00195451,0.000451715,0.001956918,0.000210904,0.000240811
10,0.8,0.000466651,0.000461574,0.000507671,0.000463463,0.00031876,0.000188911
10,1,-1.04E-18,0,1.04E-16,0,1.04E-16,0
