# Time Series: 1 Hz sine wave 
 # Time (s),Acceleration (g)
0.000000000000000000e+00,0.000000000000000000e+00
1.001038551329726939e-02,6.285564473607052616e-02
2.002077102659453878e-02,1.254627116094783335e-01
3.003115653989180817e-02,1.875736058188922084e-01
4.004154205318907755e-02,2.489426947978899685e-01
5.005192756648634694e-02,3.093272796284027848e-01
6.006231307978361633e-02,3.684885548523375021e-01
7.007269859308087878e-02,4.261925528855682321e-01
8.008308410637815511e-02,4.822110692993852310e-01
9.009346961967543144e-02,5.363225653101491019e-01
1.001038551329726939e-01,5.883130439080397345e-01
1.101142406462699563e-01,6.379768961600339461e-01
1.201246261595672327e-01,6.851177143402029657e-01
1.301350116728645090e-01,7.295490686716094020e-01
1.401453971861617576e-01,7.710952446079895051e-01
1.501557826994590339e-01,8.095919377394620309e-01
1.601661682127563102e-01,8.448869035740901312e-01
1.701765537260535865e-01,8.768405596255789414e-01
1.801869392393508629e-01,9.053265374260065501e-01
1.901973247526481114e-01,9.302321822805207363e-01
2.002077102659453878e-01,9.514589987875999855e-01
2.102180957792426641e-01,9.689230403629619515e-01
2.202284812925399127e-01,9.825552412266516100e-01
2.302388668058371890e-01,9.923016895403877768e-01
2.402492523191344653e-01,9.981238406149773867e-01
2.502596378324317139e-01,9.999986693446196728e-01
2.602700233457290180e-01,9.979187612652606898e-01
2.702804088590262666e-01,9.918923418768867961e-01
2.802907943723235151e-01,9.819432441137930789e-01
2.903011798856208192e-01,9.681108140914753690e-01
3.003115653989180678e-01,9.504497555028930122e-01
3.103219509122153719e-01,9.290299132794714865e-01
3.203323364255126204e-01,9.039359973724145902e-01
3.303427219388098690e-01,8.752672477466962864e-01
3.403531074521071731e-01,8.431370419125956417e-01
3.503634929654044217e-01,8.076724465468876346e-01
3.603738784787017257e-01,7.690137149769099567e-01
3.703842639919989743e-01,7.273137325148296695e-01
3.803946495052962229e-01,6.827374118356660526e-01
3.904050350185935270e-01,6.354610407901970515e-01
4.004154205318907755e-01,5.856715852319795967e-01
4.104258060451880241e-01,5.335659496156218706e-01
4.204361915584853282e-01,4.793501982904523895e-01
4.304465770717825768e-01,4.232387405691701576e-01
4.404569625850798253e-01,3.654534827943126674e-01
4.504673480983771294e-01,3.062229507559089403e-01
4.604777336116743780e-01,2.457813859309225246e-01
4.704881191249716821e-01,1.843678191186277071e-01
4.804985046382689307e-01,1.222251251354526391e-01
4.905088901515661792e-01,5.959906230772227254e-02
5.005192756648634278e-01,-3.262699439132428318e-03
5.105296611781607874e-01,-6.611155805124974139e-02
5.205400466914580360e-01,-1.286989625033350959e-01
5.305504322047552845e-01,-1.907773957538629883e-01
5.405608177180525331e-01,-2.521013536111310072e-01
5.505712032313497817e-01,-3.124283156390161298e-01
5.605815887446470303e-01,-3.715197042627466639e-01
5.705919742579443898e-01,-4.291418282816765184e-01
5.806023597712416384e-01,-4.850668070577024427e-01
5.906127452845388870e-01,-5.390734717244176633e-01
6.006231307978361356e-01,-5.909482398529287694e-01
6.106335163111333841e-01,-6.404859601152737003e-01
6.206439018244307437e-01,-6.874907236050105119e-01
6.306542873377279923e-01,-7.317766386064084028e-01
6.406646728510252409e-01,-7.731685657482424423e-01
6.506750583643224894e-01,-8.115028106348277648e-01
6.606854438776197380e-01,-8.466277712151362156e-01
6.706958293909170976e-01,-8.784045373298046133e-01
6.807062149042143462e-01,-9.067074400649862698e-01
6.907166004175115948e-01,-9.314245487404916313e-01
7.007269859308088433e-01,-9.524581135667582465e-01
7.107373714441060919e-01,-9.697249522200561689e-01
7.207477569574034515e-01,-9.831567788071233771e-01
7.307581424707007001e-01,-9.927004739182597737e-01
7.407685279839979486e-01,-9.983182947008929498e-01
7.507789134972951972e-01,-9.999880241228243927e-01
7.607892990105924458e-01,-9.977030588348612117e-01
7.707996845238896944e-01,-9.914724352853593325e-01
7.808100700371870539e-01,-9.813207939834009963e-01
7.908204555504843025e-01,-9.672882820519370650e-01
8.008308410637815511e-01,-9.494303944562700881e-01
8.108412265770787997e-01,-9.278177545357811917e-01
8.208516120903760482e-01,-9.025358347068377363e-01
8.308619976036734078e-01,-8.736846184414327476e-01
8.408723831169706564e-01,-8.413782048583428042e-01
8.508827686302679050e-01,-8.057443574905406303e-01
8.608931541435651535e-01,-7.669239990133775997e-01
8.709035396568624021e-01,-7.250706539317499644e-01
8.809139251701596507e-01,-6.803498414302809882e-01
8.909243106834570103e-01,-6.329384207876375124e-01
9.009346961967542589e-01,-5.830238919436996348e-01
9.109450817100515074e-01,-5.308036539856607616e-01
9.209554672233487560e-01,-4.764842244855519993e-01
9.309658527366460046e-01,-4.202804227765118417e-01
9.409762382499433642e-01,-3.624145203977308105e-01
9.509866237632406127e-01,-3.031153620678475047e-01
9.609970092765378613e-01,-2.426174606631068265e-01
9.710073947898351099e-01,-1.811600697794255588e-01
9.810177803031323585e-01,-1.189862375461298444e-01
9.910281658164297180e-01,-5.634184543329198713e-02
1.001038551329726856e+00,6.525364146059459310e-03
1.011048936843024215e+00,6.936676759329304942e-02
1.021059322356321575e+00,1.319338433663684029e-01
1.031069707869618712e+00,1.939791548184395531e-01
1.041080093382916072e+00,2.552573287459773410e-01
1.051090478896213209e+00,3.155260257764885834e-01
1.061100864409510569e+00,3.745468987582415421e-01
1.071111249922807929e+00,4.320865353617621141e-01
1.081121635436105066e+00,4.879173811654021198e-01
1.091132020949402426e+00,5.418186395743800343e-01
1.101142406462699563e+00,5.935771450143644268e-01
1.111152791975996923e+00,6.429882059463390975e-01
1.121163177489294061e+00,6.898564143688431516e-01
1.131173563002591420e+00,7.339964186062190032e-01
1.141183948515888780e+00,7.752336563266758462e-01
1.151194334029185917e+00,8.134050448912912845e-01
1.161204719542483277e+00,8.483596263037872509e-01
1.171215105055780414e+00,8.799591642104614975e-01
1.181225490569077774e+00,9.080786905893195593e-01
1.191235876082375134e+00,9.326069999663623156e-01
1.201246261595672271e+00,9.534470892045553425e-01
1.211256647108969631e+00,9.705165411262177688e-01
1.221267032622266768e+00,9.837478504516984357e-01
1.231277418135564128e+00,9.930886907653488915e-01
1.241287803648861487e+00,9.985021214529979927e-01
1.251298189162158625e+00,9.999667337925548516e-01
1.261308574675455985e+00,9.974767356199818469e-01
1.271318960188753122e+00,9.910419742358099748e-01
1.281329345702050482e+00,9.806878974616042299e-01
1.291339731215347841e+00,9.664554530003944821e-01
1.301350116728644979e+00,9.484009264990702626e-01
1.311360502241942338e+00,9.265957189531655036e-01
1.321370887755239476e+00,9.011260643343375065e-01
1.331381273268536836e+00,8.720926885572516385e-01
1.341391658781834195e+00,8.396104111345680243e-01
1.351402044295131333e+00,8.038076910953851906e-01
1.361412429808428692e+00,7.648261189629125267e-01
1.371422815321725830e+00,7.228198568004717828e-01
1.381433200835023190e+00,6.779550285402989873e-01
1.391443586348320549e+00,6.304090630062393341e-01
1.401453971861617687e+00,5.803699922285198154e-01
1.411464357374915046e+00,5.280357078255532022e-01
1.421474742888212184e+00,4.736131783936505246e-01
1.431485128401509543e+00,4.173176309995819122e-01
1.441495513914806903e+00,3.593717000130638439e-01
1.451505899428104041e+00,3.000045466452336274e-01
1.461516284941401400e+00,2.394509526751742445e-01
1.471526670454698538e+00,1.779503919485335428e-01
1.481537055967995897e+00,1.157460833202318962e-01
1.491547441481293035e+00,5.308402878662394492e-02
1.501557826994590394e+00,-9.787959388945870892e-03
1.511568212507887754e+00,-7.262123870972883588e-02
1.521578598021184892e+00,-1.351673197625057332e-01
1.531588983534482251e+00,-1.971788489291429747e-01
1.541599369047779389e+00,-2.584105866063264867e-01
1.551609754561076748e+00,-3.186203770649662093e-01
1.561620140074374108e+00,-3.775701061136201298e-01
1.571630525587671245e+00,-4.350266427787235490e-01
1.581640911100968605e+00,-4.907627612774501102e-01
1.591651296614265743e+00,-5.445580396370762744e-01
1.601661682127563102e+00,-5.961997314070307530e-01
1.611672067640860462e+00,-6.454836070162324191e-01
1.621682453154157599e+00,-6.922147614483680211e-01
1.631692838667454959e+00,-7.362083850409597563e-01
1.641703224180752096e+00,-7.772904943599125982e-01
1.651713609694049456e+00,-8.152986202591210319e-01
1.661723995207346816e+00,-8.500824504040374041e-01
1.671734380720643953e+00,-8.815044237181802744e-01
1.681744766233941313e+00,-9.094402744017213713e-01
