# Time Series: Kocaeli, Turkey 1999 - ATS-090
# Time (s),Acceleration (g's)
0.0,-8.86964E-4
0.005,-8.7554E-4
0.01,-9.05399E-4
0.015,-9.64471E-4
0.02,-9.98357E-4
0.025,-0.00101894
0.03,-0.00102483
0.035,-9.89263E-4
0.04,-8.97912E-4
0.045,-7.26228E-4
0.05,-5.04138E-4
0.055,-2.53212E-4
0.06,-1.60075E-5
0.065,1.17211E-4
0.07,1.01573E-4
0.075,1.36492E-5
0.08,-4.1122E-5
0.085,-1.35515E-5
0.09,8.30082E-5
0.095,2.64268E-4
0.1,4.91038E-4
0.105,6.52134E-4
0.11,6.85337E-4
0.115,5.43441E-4
0.12,2.37682E-4
0.125,-1.04181E-4
0.13,-3.7584E-4
0.135,-5.18138E-4
0.14,-5.225E-4
0.145,-4.12898E-4
0.15,-2.71833E-4
0.155,-2.40035E-4
0.16,-3.42944E-4
0.165,-5.27494E-4
0.17,-6.92954E-4
0.175,-7.97699E-4
0.18,-8.35894E-4
0.185,-7.79591E-4
0.19,-6.82717E-4
0.195,-6.21081E-4
0.2,-6.0275E-4
0.205,-5.95661E-4
0.21,-6.57066E-4
0.215,-8.173E-4
0.22,-0.00103868
0.225,-0.00130997
0.23,-0.00155092
0.235,-0.00172222
0.24,-0.00186804
0.245,-0.00199237
0.25,-0.00207694
0.255,-0.00213776
0.26,-0.00211809
0.265,-0.00197802
0.27,-0.00182468
0.275,-0.0017778
0.28,-0.00178528
0.285,-0.00172065
0.29,-0.00155721
0.295,-0.00130283
0.3,-9.94542E-4
0.305,-7.04321E-4
0.31,-4.81096E-4
0.315,-2.96535E-4
0.32,-1.20534E-4
0.325,1.06271E-4
0.33,3.54798E-4
0.335,5.08183E-4
0.34,5.28758E-4
0.345,4.99407E-4
0.35,5.07042E-4
0.355,6.02363E-4
0.36,7.57841E-4
0.365,8.62524E-4
0.37,8.56666E-4
0.375,7.3122E-4
0.38,4.86494E-4
0.385,2.23483E-4
0.39,7.21492E-5
0.395,7.22251E-5
0.4,1.6886E-4
0.405,2.87893E-4
0.41,4.39074E-4
0.415,5.40173E-4
0.42,4.75366E-4
0.425,2.65043E-4
0.43,-1.86979E-6
0.435,-2.34273E-4
0.44,-4.20112E-4
0.445,-4.98983E-4
0.45,-3.99396E-4
0.455,-2.2151E-4
0.46,-1.08393E-4
0.465,-1.47018E-4
0.47,-3.72583E-4
0.475,-7.49667E-4
0.48,-0.00113873
0.485,-0.00138637
0.49,-0.00144588
