# Time Series: Sine(t)
# Time (s),Acceleration (g's)
0.000000000000000000e+00,0.000000000000000000e+00
1.001038551329726939e-02,1.001021832765312466e-02
2.002077102659453878e-02,2.001943356154520931e-02
3.003115653989180817e-02,3.002664270843221489e-02
4.004154205318907755e-02,4.003084297609402209e-02
5.005192756648634694e-02,5.003103187382122036e-02
6.006231307978361633e-02,6.002620731287165723e-02
7.007269859308087878e-02,7.001536770688676636e-02
8.008308410637815511e-02,7.999751207225745675e-02
9.009346961967543144e-02,8.997164012842973069e-02
1.001038551329726939e-01,9.993675239813966382e-02
1.101142406462699563e-01,1.098918503075681646e-01
1.201246261595672327e-01,1.198359362864048899e-01
1.301350116728645090e-01,1.297680138678118655e-01
1.401453971861617576e-01,1.396870877882763207e-01
1.501557826994590339e-01,1.495921640873431602e-01
1.601661682127563102e-01,1.594822502072166248e-01
1.701765537260535865e-01,1.693563550922215777e-01
1.801869392393508629e-01,1.792134892881142028e-01
1.901973247526481114e-01,1.890526650412321374e-01
2.002077102659453878e-01,1.988728963974744635e-01
2.102180957792426641e-01,2.086731993011010644e-01
2.202284812925399127e-01,2.184525916933418022e-01
2.302388668058371890e-01,2.282100936108058808e-01
2.402492523191344653e-01,2.379447272836808791e-01
2.502596378324317139e-01,2.476555172337120692e-01
2.602700233457290180e-01,2.573414903719523084e-01
2.702804088590262666e-01,2.670016760962721225e-01
2.802907943723235151e-01,2.766351063886210437e-01
2.903011798856208192e-01,2.862408159120297668e-01
3.003115653989180678e-01,2.958178421073432984e-01
3.103219509122153719e-01,3.053652252896765784e-01
3.203323364255126204e-01,3.148820087445812765e-01
3.303427219388098690e-01,3.243672388239154936e-01
3.403531074521071731e-01,3.338199650414058750e-01
3.503634929654044217e-01,3.432392401678926452e-01
3.603738784787017257e-01,3.526241203262492352e-01
3.703842639919989743e-01,3.619736650859647908e-01
3.803946495052962229e-01,3.712869375573821795e-01
3.904050350185935270e-01,3.805630044855808358e-01
4.004154205318907755e-01,3.898009363438952324e-01
4.104258060451880241e-01,3.989998074270600936e-01
4.204361915584853282e-01,4.081586959439726381e-01
4.304465770717825768e-01,4.172766841100622459e-01
4.404569625850798253e-01,4.263528582392590027e-01
4.504673480983771294e-01,4.353863088355514610e-01
4.604777336116743780e-01,4.443761306841244041e-01
4.704881191249716821e-01,4.533214229420676755e-01
4.804985046382689307e-01,4.622212892286470254e-01
4.905088901515661792e-01,4.710748377151276478e-01
5.005192756648634278e-01,4.798811812141416944e-01
5.105296611781607874e-01,4.886394372685907150e-01
5.205400466914580360e-01,4.973487282400735898e-01
5.305504322047552845e-01,5.060081813968326792e-01
5.405608177180525331e-01,5.146169290012072572e-01
5.505712032313497817e-01,5.231741083965867345e-01
5.605815887446470303e-01,5.316788620938553978e-01
5.705919742579443898e-01,5.401303378573182323e-01
5.806023597712416384e-01,5.485276887901011644e-01
5.906127452845388870e-01,5.568700734190161761e-01
6.006231307978361356e-01,5.651566557788824108e-01
6.106335163111333841e-01,5.733866054962961645e-01
6.206439018244307437e-01,5.815590978728398808e-01
6.306542873377279923e-01,5.896733139677223789e-01
6.406646728510252409e-01,5.977284406798430982e-01
