# Time Series: Chi-Chi, Taiwan 1999 - TCU068-090
# Time (s),Acceleration (g's)
0.0,-6.67772E-4
0.005,-6.16874E-4
0.01,-5.34739E-4
0.015,-4.19782E-4
0.02,-2.32835E-4
0.025,-4.27689E-5
0.03,1.22961E-4
0.035,2.52706E-4
0.04,2.45059E-4
0.045,1.2317E-4
0.05,-7.70699E-5
0.055,-4.06426E-4
0.06,-7.36495E-4
0.065,-8.66355E-4
0.07,-8.97772E-4
0.075,-9.35554E-4
0.08,-8.06032E-4
0.085,-5.19701E-4
0.09,-2.27494E-4
0.095,1.09242E-4
0.1,3.92557E-4
0.105,4.19229E-4
0.11,3.44032E-4
0.115,3.83377E-4
0.12,3.7859E-4
0.125,2.24445E-4
0.13,7.55594E-6
0.135,-2.12581E-4
0.14,-3.71135E-4
0.145,-3.48146E-4
0.15,-2.02494E-4
0.155,-3.29291E-5
0.16,2.56455E-4
0.165,5.32939E-4
0.17,5.55186E-4
0.175,3.60333E-4
0.18,1.71618E-4
0.185,4.34077E-5
0.19,-1.26046E-4
0.195,-3.62243E-4
0.2,-5.8361E-4
0.205,-6.15346E-4
0.21,-4.95352E-4
0.215,-3.97801E-4
0.22,-2.94256E-4
0.225,2.61875E-5
0.23,5.19842E-4
0.235,9.7958E-4
0.24,0.00135302
0.245,0.00174531
0.25,0.00225647
0.255,0.00276436
0.26,0.00310891
0.265,0.0034614
0.27,0.00377892
0.275,0.00397113
0.28,0.00405942
0.285,0.00400575
0.29,0.00374705
0.295,0.00335997
0.3,0.00299736
0.305,0.00268763
0.31,0.00233331
0.315,0.00188003
0.32,0.00136234
0.325,7.54739E-4
0.33,2.15993E-4
0.335,-6.73283E-5
0.34,-2.8069E-4
0.345,-5.561E-4
0.35,-7.35546E-4
0.355,-7.76833E-4
0.36,-7.71269E-4
0.365,-7.60464E-4
0.37,-8.76171E-4
0.375,-0.0011031
0.38,-0.00122445
0.385,-0.00127767
0.39,-0.00143981
0.395,-0.00155125
0.4,-0.00160848
